Freq     Ohm         Deg
200.000  3.8820      11.3969 
201.331  3.8850      11.5139 
202.670  3.8887      11.6453 
204.019  3.8924      11.6907 
205.376  3.8943      11.7509 
206.742  3.8968      11.8295 
208.118  3.8979      12.0500 
209.503  3.9042      12.2109 
210.896  3.9069      12.1713 
212.299  3.9085      12.3275 
213.712  3.9134      12.4981 
215.134  3.9170      12.4972 
216.565  3.9185      12.6286 
218.006  3.9235      12.8181 
219.457  3.9279      12.8451 
220.917  3.9303      12.9340 
222.386  3.9345      13.0041 
223.866  3.9361      13.1233 
225.355  3.9410      13.3130 
226.855  3.9455      13.3593 
228.364  3.9485      13.4704 
229.883  3.9532      13.6060 
231.413  3.9574      13.6370 
232.952  3.9600      13.7594 
234.502  3.9653      13.9306 
236.063  3.9701      13.9375 
237.633  3.9721      14.0231 
239.214  3.9767      14.1568 
240.806  3.9796      14.3191 
242.408  3.9860      14.4685 
244.021  3.9903      14.4634 
245.644  3.9931      14.6581 
247.279  4.0007      14.8484 
248.924  4.0061      14.7789 
250.580  4.0078      14.9389 
252.247  4.0154      15.1340 
253.925  4.0201      15.1004 
255.615  4.0230      15.2166 
257.315  4.0286      15.2825 
259.027  4.0302      15.4687 
260.751  4.0383      15.6856 
262.486  4.0433      15.6900 
264.232  4.0477      15.8797 
265.990  4.0556      16.0597 
267.760  4.0620      16.0126 
269.541  4.0646      16.1043 
271.334  4.0708      16.2329 
273.140  4.0740      16.4309 
274.957  4.0829      16.6562 
276.786  4.0895      16.6536 
278.628  4.0943      16.7980 
280.481  4.1021      16.9738 
282.348  4.1089      16.9851 
284.226  4.1133      17.1742 
286.117  4.1226      17.3748 
288.021  4.1298      17.2959 
289.937  4.1326      17.4587 
291.866  4.1417      17.6000 
293.808  4.1452      17.7958 
295.763  4.1567      18.0555 
297.730  4.1645      17.9927 
299.711  4.1693      18.1733 
301.705  4.1796      18.4184 
303.713  4.1886      18.3612 
305.733  4.1927      18.5754 
307.767  4.2053      18.8319 
309.815  4.2138      18.7222 
311.876  4.2183      18.8569 
313.951  4.2279      18.9909 
316.040  4.2327      19.2381 
318.143  4.2461      19.5054 
320.260  4.2553      19.4242 
322.390  4.2611      19.6626 
324.535  4.2746      19.9130 
326.694  4.2844      19.8305 
328.868  4.2903      20.0894 
331.056  4.3054      20.3590 
333.259  4.3159      20.2356 
335.476  4.3219      20.3641 
337.708  4.3330      20.5226 
339.955  4.3396      20.8112 
342.216  4.3560      21.1279 
344.493  4.3685      20.9912 
346.785  4.3748      21.2918 
349.092  4.3939      21.6185 
351.415  4.4065      21.4231 
353.753  4.4135      21.7957 
